Parameter,Value,cs1,crf,ccm,cci,cce,crd,cca,cch,cs3
executeFuncUnits.funcUnits[6].issueLat,3,0.126553,0.259074,0.073443,0.051291,0.19504,0.156266,0.073434,0.119841,0.12802
executeFuncUnits.funcUnits[6].issueLat,2,0.126553,0.240066,0.073442,0.050443,0.180049,0.146038,0.06994,0.06789,0.128019
executeFuncUnits.funcUnits[1].issueLat,3,0.126586,0.229852,0.076936,0.054374,0.187548,0.145691,0.06994,0.070621,0.128187
executeFuncUnits.funcUnits[1].issueLat,1,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[1].issueLat,2,0.126559,0.229852,0.073442,0.054278,0.180051,0.138198,0.066446,0.110099,0.128115
executeBranchDelay,2,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeBranchDelay,1,0.126531,0.221039,0.073438,0.050416,0.18004,0.135447,0.066443,0.109367,0.12793
executeBranchDelay,4,0.126604,0.223183,0.07345,0.050496,0.180064,0.13695,0.06645,0.068375,0.128225
executeBranchDelay,3,0.126573,0.221769,0.073448,0.05047,0.180057,0.136218,0.066448,0.06813,0.128133
executeFuncUnits.funcUnits[7].issueLat,2,0.126553,0.240066,0.073442,0.050443,0.180049,0.146042,0.066446,0.06789,0.128019
executeFuncUnits.funcUnits[7].issueLat,1,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
executeFuncUnits.funcUnits[7].issueLat,3,0.126553,0.26857,0.073443,0.050444,0.180049,0.161384,0.066447,0.109867,0.12802
executeFuncUnits.funcUnits[0].opLat,1,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[0].opLat,3,0.154763,0.250547,0.094417,0.083251,0.240048,0.152249,0.087417,0.090165,0.156848
executeFuncUnits.funcUnits[0].opLat,2,0.140655,0.218819,0.080432,0.062698,0.202547,0.133846,0.073438,0.122286,0.142381
executeFuncUnits.funcUnits[2].issueLat,4,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
executeFuncUnits.funcUnits[2].issueLat,3,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[2].issueLat,2,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
branchPred.indirectBranchPred.indirectWays,2,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
branchPred.indirectBranchPred.indirectWays,1,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
branchPred.indirectBranchPred.indirectWays,8,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
branchPred.indirectBranchPred.indirectWays,4,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[2].opLat,2,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[2].opLat,4,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[2].opLat,3,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
branchPred.indirectBranchPred.indirectTagSize,8,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
branchPred.indirectBranchPred.indirectTagSize,32,0.126597,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
branchPred.indirectBranchPred.indirectTagSize,16,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
branchPred.indirectBranchPred.indirectSets,1024,0.126515,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.127882
branchPred.indirectBranchPred.indirectSets,512,0.126515,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.127882
branchPred.indirectBranchPred.indirectSets,128,0.126586,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.127845
branchPred.indirectBranchPred.indirectSets,256,0.126539,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.127801
decodeCycleInput,True,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
decodeCycleInput,False,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
fetch1FetchLimit,2,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
fetch1FetchLimit,4,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
fetch1FetchLimit,1,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
threadPolicy,"""RoundRobin""",0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
threadPolicy,"""SingleThreaded""",0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
enableIdling,False,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
enableIdling,True,0.126553,0.221065,0.073442,0.050443,0.180049,0.135815,0.066446,0.110105,0.128019
