Parameter,Value,cs1,crf,ccm,cci,cce,crd,cca,cch,cs3
executeBranchDelay,3,151948295,266229777,88172863,60588588,216154588,163527136,79769665,81788916,153820575
executeFuncUnits.funcUnits[7].issueLat,2,151923916,288194878,88166134,60556005,216144907,175321062,79767536,81501158,153684781
executeFuncUnits.funcUnits[7].issueLat,1,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
executeFuncUnits.funcUnits[7].issueLat,3,151924347,322412744,88166444,60556828,216145064,193738321,79767812,131892592,153685073
executeFuncUnits.funcUnits[0].opLat,1,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[0].opLat,3,185790113,300776629,113345412,99940714,288172803,182772305,104942230,108241265,188293253
executeFuncUnits.funcUnits[0].opLat,2,168853129,262688232,96557226,75267890,243153977,160679282,88160593,146802389,170925762
executeFuncUnits.funcUnits[2].issueLat,4,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
executeFuncUnits.funcUnits[2].issueLat,3,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[2].issueLat,2,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
branchPred.indirectBranchPred.indirectWays,2,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
branchPred.indirectBranchPred.indirectWays,1,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
branchPred.indirectBranchPred.indirectWays,8,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
branchPred.indirectBranchPred.indirectWays,4,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[2].opLat,2,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[2].opLat,4,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[2].opLat,3,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
branchPred.indirectBranchPred.indirectTagSize,8,151923586,265383992,88165546,60555992,216144382,163043585,79766870,81500445,153684477
branchPred.indirectBranchPred.indirectTagSize,32,151976664,265384069,88165427,60555995,216144499,163043591,79766782,131892460,153684647
branchPred.indirectBranchPred.indirectTagSize,16,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
branchPred.indirectBranchPred.indirectSets,1024,151878493,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153520283
branchPred.indirectBranchPred.indirectSets,512,151878493,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153520283
branchPred.indirectBranchPred.indirectSets,128,151964225,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153475633
branchPred.indirectBranchPred.indirectSets,256,151907355,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153422239
decodeCycleInput,True,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
decodeCycleInput,False,151923581,265383992,88165616,60555993,216144382,163043584,79766954,131892463,153684478
fetch1FetchLimit,2,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
fetch1FetchLimit,4,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
fetch1FetchLimit,1,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
threadPolicy,"""RoundRobin""",151923582,265384076,88165792,60555992,216144499,163043491,79767114,81500412,153684540
threadPolicy,"""SingleThreaded""",151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
enableIdling,False,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
enableIdling,True,151923848,265384007,88165844,60556059,216144684,163043678,79767198,132179091,153684786
