Parameter,Value,overall,control,execution,memory,data_dependency,store_intense
branchPred.indirectBranchPred.indirectWays,8,0.08760531249999999,0.1159586,0.06208675,0.10530054545454547,0.0282968,0.047823500000000005
branchPred.indirectBranchPred.indirectWays,4,0.0876053125,0.1159586,0.062086749999999996,0.10530054545454547,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[2].opLat,2,0.08729293750000001,0.1159586,0.05958775,0.10530054545454544,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[2].opLat,4,0.0879176875,0.11595860000000002,0.06458575,0.10530054545454547,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[2].opLat,3,0.08760531250000002,0.1159586,0.06208675,0.10530054545454547,0.0282968,0.047823500000000005
branchPred.indirectBranchPred.indirectTagSize,8,0.08760531249999999,0.1159586,0.062086749999999996,0.10530054545454547,0.0282968,0.047823500000000005
branchPred.indirectBranchPred.indirectTagSize,32,0.08760671874999999,0.11596310000000001,0.06208675000000001,0.10530045454545456,0.028297,0.047823500000000005
branchPred.indirectBranchPred.indirectTagSize,16,0.0876053125,0.1159586,0.06208675,0.10530054545454544,0.0282968,0.047823500000000005
branchPred.indirectBranchPred.indirectSets,1024,0.08759987500000002,0.11594120000000001,0.06208675000000001,0.10530054545454547,0.0282968,0.047823500000000005
branchPred.indirectBranchPred.indirectSets,512,0.08759987500000002,0.11594120000000001,0.06208675,0.10530054545454544,0.0282968,0.047823500000000005
branchPred.indirectBranchPred.indirectSets,128,0.08760093750000002,0.1159446,0.06208675,0.10530054545454544,0.0282968,0.047823500000000005
branchPred.indirectBranchPred.indirectSets,256,0.08759809375000002,0.11593550000000001,0.06208675,0.10530054545454544,0.0282968,0.047823500000000005
decodeCycleInput,True,0.0876053125,0.11595860000000002,0.06208675000000001,0.10530054545454544,0.0282968,0.047823500000000005
decodeCycleInput,False,0.08760546875,0.1159586,0.06208675000000001,0.10530036363636365,0.028298200000000003,0.047823500000000005
fetch1FetchLimit,2,0.08760531250000002,0.1159586,0.062086749999999996,0.10530054545454544,0.0282968,0.047823500000000005
fetch1FetchLimit,4,0.0876053125,0.11595860000000002,0.06208675,0.10530054545454547,0.0282968,0.047823500000000005
fetch1FetchLimit,1,0.0876053125,0.1159586,0.062086749999999996,0.10530054545454547,0.0282968,0.047823500000000005
threadPolicy,"""RoundRobin""",0.08764856250000001,0.1159586,0.062086749999999996,0.1054262727272727,0.028297,0.047823500000000005
threadPolicy,"""SingleThreaded""",0.0876053125,0.1159586,0.06208675000000001,0.10530054545454544,0.0282968,0.047823500000000005
enableIdling,False,0.0876053125,0.1159586,0.062086749999999996,0.10530054545454544,0.0282968,0.047823500000000005
enableIdling,True,0.08838759375,0.11598489999999999,0.062087500000000004,0.1074132727272727,0.028336,0.048489000000000004
