Parameter,Value,overall,control,execution,memory,data_dependency,store_intense
executeBranchDelay,1,7697587.0,21090031.9,2002146.5,1022981.8181818182,2574721.8,1643735.0
executeBranchDelay,4,7758600.25,21200169.0,2002620.75,1025357.6363636364,2739115.2,1644262.5
executeBranchDelay,3,7711673.3125,21092143.1,2002465.5,1024455.2727272727,2657025.2,1644059.5
executeFuncUnits.funcUnits[7].issueLat,2,7711012.03125,21090807.7,2002314.75,1023912.1818181818,2656843.8,1643898.0
executeFuncUnits.funcUnits[7].issueLat,1,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[7].issueLat,3,7698219.15625,21090817.0,2002322.25,1023918.7272727273,2574927.6,1643905.0
executeFuncUnits.funcUnits[0].opLat,1,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[0].opLat,3,7731826.1875,21155584.5,2002653.25,1025211.8181818182,2657226.0,1644260.0
executeFuncUnits.funcUnits[0].opLat,2,7712201.96875,21093844.9,2002451.25,1024452.6363636364,2657023.6,1644056.0
executeFuncUnits.funcUnits[2].issueLat,4,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[2].issueLat,3,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[2].issueLat,2,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
branchPred.indirectBranchPred.indirectWays,2,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
branchPred.indirectBranchPred.indirectWays,1,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
branchPred.indirectBranchPred.indirectWays,8,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
branchPred.indirectBranchPred.indirectWays,4,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[2].opLat,2,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[2].opLat,4,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[2].opLat,3,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
branchPred.indirectBranchPred.indirectTagSize,8,7710995.15625,21090793.7,2002290.25,1023896.7272727273,2656827.6,1643872.5
branchPred.indirectBranchPred.indirectTagSize,32,7711489.84375,21092421.2,2002264.75,1023875.5454545454,2656815.2,1643848.5
branchPred.indirectBranchPred.indirectTagSize,16,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
branchPred.indirectBranchPred.indirectSets,1024,7710099.21875,21087924.3,2002291.5,1023897.8181818182,2656827.8,1643875.5
branchPred.indirectBranchPred.indirectSets,512,7710099.03125,21087923.7,2002291.5,1023897.8181818182,2656827.8,1643875.5
branchPred.indirectBranchPred.indirectSets,128,7710100.84375,21087930.1,2002291.75,1023897.1818181818,2656827.8,1643875.5
branchPred.indirectBranchPred.indirectSets,256,7709717.9375,21086704.2,2002291.75,1023897.7272727273,2656827.8,1643875.5
decodeCycleInput,True,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
decodeCycleInput,False,7710996.28125,21090795.5,2002289.5,1023897.4545454546,2656830.6,1643871.5
fetch1FetchLimit,2,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
fetch1FetchLimit,4,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
fetch1FetchLimit,1,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
threadPolicy,"""RoundRobin""",7710993.09375,21090792.9,2002288.5,1023893.8181818182,2656825.2,1643869.0
threadPolicy,"""SingleThreaded""",7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
enableIdling,False,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
enableIdling,True,7710995.5,21090794.7,2002290.0,1023896.9090909091,2656827.6,1643872.5
