Parameter,Value,overall,control,execution,memory,data_dependency,store_intense
executeBranchDelay,1,105080339.125,139051714.8,74533614.75,126407418.0909091,33723387.0,57410355.5
executeBranchDelay,4,105408940.4375,139841142.0,74535370.75,126418412.0,34220912.8,57413047.5
executeBranchDelay,3,105262903.40625,139461735.1,74534967.0,126414602.0909091,34054213.8,57411999.0
executeFuncUnits.funcUnits[7].issueLat,2,106292543.15625,142715286.8,74534621.75,126415316.63636364,34135797.0,57411279.0
executeFuncUnits.funcUnits[7].issueLat,1,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[7].issueLat,3,108072520.5,147979047.3,75034946.25,126514384.81818181,34381856.8,57411440.5
executeFuncUnits.funcUnits[0].opLat,1,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[0].opLat,3,124759051.625,174257660.5,94535459.5,139667367.1818182,40123749.6,67305711.0
executeFuncUnits.funcUnits[0].opLat,2,111788305.875,150470640.7,84534925.25,130994707.0,34396400.0,60727951.5
executeFuncUnits.funcUnits[2].issueLat,4,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[2].issueLat,3,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[2].issueLat,2,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectWays,2,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectWays,1,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectWays,8,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectWays,4,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[2].opLat,2,104793479.125,139206129.0,71534243.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[2].opLat,4,105543480.34375,139206129.0,77534253.0,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[2].opLat,3,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectTagSize,8,105168482.375,139206134.2,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectTagSize,32,105170104.65625,139211458.8,74534242.5,126410895.36363636,33970056.2,57410830.5
branchPred.indirectBranchPred.indirectTagSize,16,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectSets,1024,105161940.65625,139185200.8,74534256.25,126410987.63636364,33970086.6,57410885.5
branchPred.indirectBranchPred.indirectSets,512,105161940.65625,139185200.8,74534256.25,126410987.63636364,33970086.6,57410885.5
branchPred.indirectBranchPred.indirectSets,128,105163224.5,139189309.0,74534256.25,126410987.72727273,33970086.6,57410885.5
branchPred.indirectBranchPred.indirectSets,256,105159778.75,139178282.6,74534256.25,126410987.72727273,33970086.6,57410885.5
decodeCycleInput,True,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
decodeCycleInput,False,105168666.40625,139206145.3,74534255.75,126410864.36363636,33971501.0,57410918.0
fetch1FetchLimit,2,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
fetch1FetchLimit,4,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
fetch1FetchLimit,1,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
threadPolicy,"""RoundRobin""",105220495.46875,139206196.4,74534296.5,126562196.18181819,33970142.2,57410918.0
threadPolicy,"""SingleThreaded""",105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
enableIdling,False,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
enableIdling,True,106107530.125,139237567.3,74534577.75,128947481.54545455,34016755.8,58210452.0
