Parameter,Value,Instructions,Cycles,IPC,Seconds,Branches
executeFuncUnits.funcUnits[7].issueLat,1,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[7].issueLat,3,62505383.25,75034946.25,0.8330169657448112,0.06250425000000001,2002322.25
executeFuncUnits.funcUnits[0].opLat,1,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[0].opLat,3,62505383.25,94535459.5,0.6611845288592478,0.078748,2002653.25
executeFuncUnits.funcUnits[0].opLat,2,62505383.25,84534925.25,0.739403069975507,0.07041775,2002451.25
executeFuncUnits.funcUnits[2].issueLat,4,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[2].issueLat,3,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[2].issueLat,2,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
branchPred.indirectBranchPred.indirectWays,2,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
branchPred.indirectBranchPred.indirectWays,1,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
branchPred.indirectBranchPred.indirectWays,8,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
branchPred.indirectBranchPred.indirectWays,4,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[2].opLat,2,62505383.25,71534243.25,0.8737826865876575,0.05958775,2002290.5
executeFuncUnits.funcUnits[2].opLat,4,62505383.25,77534253.0,0.8061647701693857,0.06458575,2002290.5
executeFuncUnits.funcUnits[2].opLat,3,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
branchPred.indirectBranchPred.indirectTagSize,8,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.25
branchPred.indirectBranchPred.indirectTagSize,32,62505383.25,74534242.5,0.8386129804700169,0.06208675000000001,2002264.75
branchPred.indirectBranchPred.indirectTagSize,16,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
branchPred.indirectBranchPred.indirectSets,1024,62505383.25,74534256.25,0.8386128257635898,0.06208675000000001,2002291.5
branchPred.indirectBranchPred.indirectSets,512,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002291.5
branchPred.indirectBranchPred.indirectSets,128,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002291.75
branchPred.indirectBranchPred.indirectSets,256,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002291.75
decodeCycleInput,True,62505383.25,74534256.25,0.8386128257635898,0.06208675000000001,2002290.5
decodeCycleInput,False,62505383.25,74534255.75,0.838612831389277,0.06208675000000001,2002289.5
fetch1FetchLimit,2,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
fetch1FetchLimit,4,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
fetch1FetchLimit,1,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
threadPolicy,"""RoundRobin""",62505383.25,74534296.5,0.8386123728960131,0.062086749999999996,2002288.5
threadPolicy,"""SingleThreaded""",62505383.25,74534256.25,0.8386128257635898,0.06208675000000001,2002290.5
enableIdling,False,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
enableIdling,True,62505383.25,74534577.75,0.83860920846231,0.062087500000000004,2002290.0
