Parameter,Value,overall,control,execution,memory,data_dependency,store_intense
branchPred.BTBEntries,2048,0.8051821207744404,1.1857081253364294,0.8386159902245922,0.4344848680354631,0.7921285078329169,0.6140275101254616
branchPred.BTBEntries,256,0.8051818070717226,1.1857080265110924,0.83861546984492,0.4344845749147393,0.7921281673831255,0.6140275154731349
branchPred.BTBEntries,4096,0.8051821279529952,1.1857081253364294,0.8386159902245922,0.4344848680354631,0.7921289835303759,0.614027125093223
branchPred.BTBEntries,1024,0.8051819774426573,1.1857081253364294,0.8386159902245922,0.43448468085064823,0.7921285078329169,0.6140275101254616
branchPred.BTBEntries,32,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
branchPred.BTBEntries,512,0.8051819482498797,1.185708087850955,0.838615993037457,0.434484654913533,0.7921285218240105,0.6140275154731349
branchPred.BTBEntries,128,0.8051816465115398,1.1857077155521651,0.8386148200744521,0.4344845514775983,0.7921281673831255,0.6140275154731349
branchPred.BTBEntries,16,0.7923971742788518,1.1415043124048447,0.8386117568843802,0.43437275072231213,0.7920574627697983,0.6139149087778416
branchPred.BTBEntries,64,0.805134345781409,1.1856062903052706,0.8386137990086084,0.4344602394618018,0.7921271040623736,0.6140262855107104
executeFuncUnits.funcUnits[7].opLat,1,0.8056495459852588,1.182244066003005,0.8617363112981934,0.4341264005840202,0.7883212777121571,0.6140257293554058
executeFuncUnits.funcUnits[7].opLat,3,0.8071176590977912,1.176280649117172,0.8386115881142278,0.4380198875220533,0.7921206915525696,0.6600517861088426
executeFuncUnits.funcUnits[7].opLat,2,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
executeFuncUnits.funcUnits[3].issueLat,7,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
executeFuncUnits.funcUnits[3].issueLat,3,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
executeFuncUnits.funcUnits[3].issueLat,2,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
executeFuncUnits.funcUnits[3].issueLat,8,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
executeFuncUnits.funcUnits[3].issueLat,5,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
executeFuncUnits.funcUnits[3].issueLat,6,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
executeFuncUnits.funcUnits[3].issueLat,4,0.8050760517428127,1.1854599433621202,0.8386128257635898,0.4344380171774251,0.7921259241527755,0.6140256972695535
executeFuncUnits.funcUnits[1].opLat,3,0.7909378681321975,1.1793309709165,0.8386049470626578,0.4213615681760234,0.7702847541669513,0.5886460911253656
executeFuncUnits.funcUnits[1].opLat,2,0.8221522150450695,1.2459291465922266,0.8386074307642528,0.4341541792084527,0.7998710103824846,0.6227264321487598
