Parameter,Value,Instructions,Cycles,IPC,Seconds,Branches
executeFuncUnits.funcUnits[7].issueLat,2,84668625.25,106292543.15625,0.7965622303865395,0.08854165624999999,7711012.03125
executeFuncUnits.funcUnits[7].issueLat,1,84668625.25,105168480.75,0.8050760517428127,0.08760531250000002,7710995.625
executeFuncUnits.funcUnits[7].issueLat,3,84668625.25,108072520.5,0.7834426814353793,0.09002459375,7698219.15625
executeFuncUnits.funcUnits[0].opLat,1,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[0].opLat,3,84668625.25,124759051.625,0.6786571727436373,0.10392424999999997,7731826.1875
executeFuncUnits.funcUnits[0].opLat,2,84668625.25,111788305.875,0.7574014525694234,0.09311965625,7712201.96875
executeFuncUnits.funcUnits[2].issueLat,4,84668625.25,105168480.75,0.8050760517428127,0.08760531249999998,7710995.625
executeFuncUnits.funcUnits[2].issueLat,3,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[2].issueLat,2,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
branchPred.indirectBranchPred.indirectWays,2,84668625.25,105168480.75,0.8050760517428127,0.08760531249999999,7710995.625
branchPred.indirectBranchPred.indirectWays,1,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
branchPred.indirectBranchPred.indirectWays,8,84668625.25,105168480.75,0.8050760517428127,0.08760531249999999,7710995.625
branchPred.indirectBranchPred.indirectWays,4,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[2].opLat,2,84668625.25,104793479.125,0.8079570022577968,0.08729293750000001,7710995.625
executeFuncUnits.funcUnits[2].opLat,4,84668625.25,105543480.34375,0.802215589008799,0.0879176875,7710995.625
executeFuncUnits.funcUnits[2].opLat,3,84668625.25,105168480.75,0.8050760517428127,0.08760531250000002,7710995.625
branchPred.indirectBranchPred.indirectTagSize,8,84668625.25,105168482.375,0.8050760393032628,0.08760531249999999,7710995.15625
branchPred.indirectBranchPred.indirectTagSize,32,84668625.25,105170104.65625,0.8050636207574445,0.08760671874999999,7711489.84375
branchPred.indirectBranchPred.indirectTagSize,16,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
branchPred.indirectBranchPred.indirectSets,1024,84668625.25,105161940.65625,0.8051261199787298,0.08759987500000002,7710099.21875
branchPred.indirectBranchPred.indirectSets,512,84668625.25,105161940.65625,0.8051261199787298,0.08759987500000002,7710099.03125
branchPred.indirectBranchPred.indirectSets,128,84668625.25,105163224.5,0.8051162909140352,0.08760093750000002,7710100.84375
branchPred.indirectBranchPred.indirectSets,256,84668625.25,105159778.75,0.8051426720028165,0.08759809375000002,7709717.9375
decodeCycleInput,True,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
decodeCycleInput,False,84668625.25,105168666.40625,0.8050746305267239,0.08760546875,7710996.28125
fetch1FetchLimit,2,84668625.25,105168480.75,0.8050760517428127,0.08760531250000002,7710995.625
fetch1FetchLimit,4,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
fetch1FetchLimit,1,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
threadPolicy,"""RoundRobin""",84668625.25,105220495.46875,0.8046780703018661,0.08764856250000001,7710993.09375
threadPolicy,"""SingleThreaded""",84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
enableIdling,False,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
enableIdling,True,84668625.25,106107530.125,0.7979511458824469,0.08838759375,7710995.5
