Parameter,Value,dpt,dp1f,dpcvt,dp1d,dptd
branchPred.indirectBranchPred.indirectSets,128,34046218,28522558,24638818,51781981,30860858
branchPred.indirectBranchPred.indirectSets,256,34046218,28522558,24638818,51781981,30860858
decodeCycleInput,True,34046218,28522558,24638818,51781981,30860859
decodeCycleInput,False,34046229,28522544,24637747,51790055,30860930
fetch1FetchLimit,2,34046218,28522558,24638818,51781981,30860859
fetch1FetchLimit,4,34046218,28522558,24638818,51781981,30860859
fetch1FetchLimit,1,34046218,28522558,24638818,51781981,30860859
threadPolicy,"""RoundRobin""",34046291,28522557,24639022,51781981,30860860
threadPolicy,"""SingleThreaded""",34046218,28522558,24638818,51781981,30860859
enableIdling,False,34046218,28522558,24638818,51781981,30860859
enableIdling,True,34046495,28574576,24639191,51962422,30861095
