Parameter,Value,dpt,dp1f,dpcvt,dp1d,dptd
executeFuncUnits.funcUnits[0].opLat,3,0.030411,0.029902,0.025307,0.053382,0.028113
executeFuncUnits.funcUnits[0].opLat,2,0.028704,0.023805,0.021209,0.043145,0.026398
executeFuncUnits.funcUnits[2].issueLat,4,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[2].issueLat,3,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[2].issueLat,2,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectWays,2,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectWays,1,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectWays,8,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectWays,4,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[2].opLat,2,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[2].opLat,4,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[2].opLat,3,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectTagSize,8,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectTagSize,32,0.028361,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectTagSize,16,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectSets,1024,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectSets,512,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectSets,128,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectSets,256,0.02836,0.023759,0.020524,0.043134,0.025707
decodeCycleInput,True,0.02836,0.023759,0.020524,0.043134,0.025707
decodeCycleInput,False,0.028361,0.023759,0.020523,0.043141,0.025707
fetch1FetchLimit,2,0.02836,0.023759,0.020524,0.043134,0.025707
fetch1FetchLimit,4,0.02836,0.023759,0.020524,0.043134,0.025707
fetch1FetchLimit,1,0.02836,0.023759,0.020524,0.043134,0.025707
threadPolicy,"""RoundRobin""",0.028361,0.023759,0.020524,0.043134,0.025707
threadPolicy,"""SingleThreaded""",0.02836,0.023759,0.020524,0.043134,0.025707
enableIdling,False,0.02836,0.023759,0.020524,0.043134,0.025707
enableIdling,True,0.028361,0.023803,0.020524,0.043285,0.025707
