Parameter,Value,dpt,dp1f,dpcvt,dp1d,dptd
branchPred.indirectBranchPred.indirectSets,128,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectSets,256,23770945,24583577,20503021,42675207,23010182
decodeCycleInput,True,23770945,24583577,20503021,42675207,23010182
decodeCycleInput,False,23770945,24583577,20503021,42675207,23010182
fetch1FetchLimit,2,23770945,24583577,20503021,42675207,23010182
fetch1FetchLimit,4,23770945,24583577,20503021,42675207,23010182
fetch1FetchLimit,1,23770945,24583577,20503021,42675207,23010182
threadPolicy,"""RoundRobin""",23770945,24583577,20503021,42675207,23010182
threadPolicy,"""SingleThreaded""",23770945,24583577,20503021,42675207,23010182
enableIdling,False,23770945,24583577,20503021,42675207,23010182
enableIdling,True,23770945,24583577,20503021,42675207,23010182
