Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
branchPred.BTBEntries,2048,0.5443289406967488,0.24727229012511742,0.3447849259578036,1.08901418296855,0.5745326866743442,0.22526672037075654,0.28469754418244453,0.547168870612876,0.4277601552083768
branchPred.BTBEntries,256,0.5443289519971259,0.2472722843841355,0.3447849259578036,1.0890128555644838,0.5745326866743442,0.22526665918636277,0.2846975484987323,0.547168326389084,0.42775751449311017
branchPred.BTBEntries,4096,0.7244546083057428,0.24727229012511742,0.3447849259578036,1.08901418296855,0.5745326866743442,0.22526672037075654,0.28469754418244453,0.547168870612876,0.4277601552083768
branchPred.BTBEntries,1024,0.6754196551612782,0.24727229012511742,0.3447849259578036,1.08901418296855,0.5745326866743442,0.22526672037075654,0.28469754418244453,0.547168870612876,0.42775751449311017
branchPred.BTBEntries,32,0.6754196551612782,0.2472720350617494,0.3447849259578036,1.0889974489652676,0.5745326866743442,0.2252664733672966,0.2846975484987323,0.5471680196452419,0.42710900185605216
branchPred.BTBEntries,512,0.5443289519971259,0.24727229012511742,0.3447849259578036,1.08901418296855,0.5745326866743442,0.22526672037075654,0.28469754418244453,0.5471685935533557,0.42775751449311017
branchPred.BTBEntries,128,0.5443289519971259,0.247272221233352,0.3447849259578036,1.0890128555644838,0.5745326925993443,0.22526665994172546,0.2846975484987323,0.547168326389084,0.42775751449311017
branchPred.BTBEntries,16,0.5443290310997791,0.2472719628895736,0.3445066020753059,1.0883857731149187,0.5745316261013124,0.2252664439082045,0.2845075687772845,0.5471675084062694,0.4267602938740526
branchPred.BTBEntries,64,0.6754196551612782,0.24727212035619334,0.3447849259578036,1.0890114386760734,0.5745326866743442,0.22526653681767497,0.2846975484987323,0.5471683329857295,0.42741645756211405
executeFuncUnits.funcUnits[7].opLat,1,0.5443290084990188,0.24727203670202663,0.3447849259578036,1.0889993430735179,0.5686513329331379,0.22526645448326232,0.284697570080173,0.5471680262418801,0.42712959415150004
