Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
executeBranchDelay,3,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[7].issueLat,2,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[7].issueLat,1,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[7].issueLat,3,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[0].opLat,1,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[0].opLat,3,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[0].opLat,2,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[2].issueLat,4,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[2].issueLat,3,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[2].issueLat,2,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectWays,2,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectWays,1,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectWays,8,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectWays,4,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[2].opLat,2,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[2].opLat,4,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[2].opLat,3,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectTagSize,8,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectTagSize,32,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectTagSize,16,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectSets,1024,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectSets,512,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.indirectBranchPred.indirectSets,128,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
