Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
executeFuncUnits.funcUnits[2].issueLat,2,821508,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.indirectBranchPred.indirectWays,2,821577,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.indirectBranchPred.indirectWays,1,821577,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.indirectBranchPred.indirectWays,8,821577,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.indirectBranchPred.indirectWays,4,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[2].opLat,2,1640737,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[2].opLat,4,1640737,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[2].opLat,3,821577,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.indirectBranchPred.indirectTagSize,8,821574,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.indirectBranchPred.indirectTagSize,32,821568,821508,213444,831279,821513,821458,213427,6243,4249987
branchPred.indirectBranchPred.indirectTagSize,16,821508,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.indirectBranchPred.indirectSets,1024,821577,821527,213474,831312,821518,821486,213457,6258,4250016
branchPred.indirectBranchPred.indirectSets,512,1640737,821527,213474,831312,821518,821486,213457,6258,4250016
branchPred.indirectBranchPred.indirectSets,128,1640737,821527,213474,831311,821517,821486,213457,6258,4250016
branchPred.indirectBranchPred.indirectSets,256,1640737,821527,213474,831312,821517,821486,213457,6258,4250016
decodeCycleInput,True,821577,821527,213472,831312,821514,821491,213455,6258,4250016
decodeCycleInput,False,1640736,821529,213474,831314,821513,821490,213457,6258,4250017
fetch1FetchLimit,2,821508,821527,213472,831312,821514,821491,213455,6258,4250016
fetch1FetchLimit,4,1640737,821527,213472,831312,821514,821491,213455,6258,4250016
fetch1FetchLimit,1,821508,821527,213472,831312,821514,821491,213455,6258,4250016
threadPolicy,"""RoundRobin""",821505,821521,213471,831310,821508,821485,213454,6256,4250015
threadPolicy,"""SingleThreaded""",821508,821527,213472,831312,821514,821491,213455,6258,4250016
enableIdling,False,821508,821527,213472,831312,821514,821491,213455,6258,4250016
enableIdling,True,821508,821526,213472,831310,821514,821491,213455,6258,4250018
