Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
executeFuncUnits.funcUnits[6].issueLat,3,0.061996,0.263433,0.047503,0.079248,0.08161,0.266846,0.056455,0.138189,0.0904
executeFuncUnits.funcUnits[6].issueLat,2,0.041487,0.257292,0.045852,0.067647,0.080928,0.260704,0.055113,0.138189,0.083536
executeFuncUnits.funcUnits[1].issueLat,3,0.042156,0.25115,0.04654,0.0656,0.084715,0.249103,0.056119,0.138189,0.080971
executeFuncUnits.funcUnits[1].issueLat,1,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[1].issueLat,2,0.057875,0.25115,0.046383,0.060823,0.083351,0.249103,0.056119,0.138189,0.080957
executeBranchDelay,2,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeBranchDelay,1,0.101039,0.251149,0.045365,0.060817,0.080774,0.248419,0.054943,0.138188,0.080929
executeBranchDelay,4,0.040125,0.251151,0.045373,0.060827,0.080775,0.248421,0.05495,0.13819,0.080999
executeBranchDelay,3,0.040125,0.25115,0.045371,0.060824,0.080775,0.248421,0.054947,0.13819,0.080973
executeFuncUnits.funcUnits[7].issueLat,2,0.101039,0.25115,0.045369,0.060824,0.080774,0.248421,0.054944,0.138189,0.080987
executeFuncUnits.funcUnits[7].issueLat,1,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[7].issueLat,3,0.040125,0.251833,0.045379,0.060824,0.080775,0.248421,0.055113,0.13819,0.081031
executeFuncUnits.funcUnits[0].opLat,1,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[0].opLat,3,0.125734,0.255245,0.050355,0.086766,0.09246,0.254563,0.059147,0.150791,0.086174
executeFuncUnits.funcUnits[0].opLat,2,0.061295,0.252515,0.047183,0.073112,0.084646,0.248421,0.056289,0.140479,0.083539
executeFuncUnits.funcUnits[2].issueLat,4,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
