Parameter,Value,em5,em1,ei,ed1
branchPred.indirectBranchPred.indirectSets,1024,56005368,22005344,144005472,28005349
branchPred.indirectBranchPred.indirectSets,512,56005368,22005344,144005472,28005349
branchPred.indirectBranchPred.indirectSets,128,56005368,22005344,144005472,28005349
branchPred.indirectBranchPred.indirectSets,256,56005368,22005344,144005472,28005349
decodeCycleInput,True,56005368,22005344,144005472,28005349
decodeCycleInput,False,56005368,22005344,144005472,28005349
fetch1FetchLimit,2,56005368,22005344,144005472,28005349
fetch1FetchLimit,4,56005368,22005344,144005472,28005349
fetch1FetchLimit,1,56005368,22005344,144005472,28005349
threadPolicy,"""RoundRobin""",56005368,22005344,144005472,28005349
threadPolicy,"""SingleThreaded""",56005368,22005344,144005472,28005349
enableIdling,False,56005368,22005344,144005472,28005349
enableIdling,True,56005368,22005344,144005472,28005349
